Step,Model,Integrator,Run,FID
100000,I-CFM,Euler (100 steps),1,6.564079350688303
200000,I-CFM,Euler (100 steps),1,5.045255324717118
300000,I-CFM,Euler (100 steps),1,4.4852110896154045
400000,I-CFM,Euler (100 steps),1,4.630949501462794
100000,I-CFM,DoPri5,1,5.787797412446309
200000,I-CFM,DoPri5,1,4.16603669170172
300000,I-CFM,DoPri5,1,3.745481404872976
400000,I-CFM,DoPri5,1,3.6483240370499175
100000,OT-CFM,Euler (100 steps),1,7.372958506607176
200000,OT-CFM,Euler (100 steps),1,5.416176853237175
300000,OT-CFM,Euler (100 steps),1,4.931733174017154
400000,OT-CFM,Euler (100 steps),1,4.821581629425282
100000,OT-CFM,DoPri5,1,6.477384009002776
200000,OT-CFM,DoPri5,1,4.448392953171947
300000,OT-CFM,DoPri5,1,3.977967478801247
400000,OT-CFM,DoPri5,1,3.8642363674908324
100000,DGSWP-CFM (linear),Euler (100 steps),1,6.971561892651039
200000,DGSWP-CFM (linear),Euler (100 steps),1,4.811579477772511
300000,DGSWP-CFM (linear),Euler (100 steps),1,4.294920912235739
400000,DGSWP-CFM (linear),Euler (100 steps),1,4.174980862490088
100000,DGSWP-CFM (linear),DoPri5,1,7.125300610406953
200000,DGSWP-CFM (linear),DoPri5,1,5.080715911671746
300000,DGSWP-CFM (linear),DoPri5,1,4.534389582754784
400000,DGSWP-CFM (linear),DoPri5,1,4.472135834084099
100000,DGSWP-CFM (NN),Euler (100 steps),1,5.828947782039791
200000,DGSWP-CFM (NN),Euler (100 steps),1,4.161698499117847
300000,DGSWP-CFM (NN),Euler (100 steps),1,3.72174084721064
400000,DGSWP-CFM (NN),Euler (100 steps),1,3.5592818411716394
100000,DGSWP-CFM (NN),DoPri5,1,6.007301258102643
200000,DGSWP-CFM (NN),DoPri5,1,4.370029515192982
300000,DGSWP-CFM (NN),DoPri5,1,4.039126624154221
400000,DGSWP-CFM (NN),DoPri5,1,3.87718485211235
